"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35"
"132",40,0,3524,0,0,0,0,0,0,0,7554,0,0,4416,2358,0,2662,2326,0,0,0,0,0,3052,0,0,3412,7984,0,80,0,0,0,0,322
"133",0,0,0,61936.0000000001,0,0,0,9240,0,0,6514,0,0,0,0,0,0,0,0,0,0,15364,0,0,0,31950,0,0,0,1350,960,3322,0,0,0
"134",34504,0,0,0,0,0,0,0,0,0,0,5002,0,0,163438,0,0,3074,0,0,0,396,26604,0,0,0,132,10202,0,0,0,2218,0,0,0
"135",0,1648,7342,0,342,0,0,0,0,0,0,0,0,0,0,27290,0,0,1408,0,1202,8210,0,1582,0,9610,0,0,0,32742,0,0,0,0,4196
"136",0,396210,61202,44638,23986,31652,10504,0,0,0,11956,3148,48058,0,0,0,0,0,27912,0,28946,1580,11594,0,0,0,0,0,14638,0,393176,0,0,0,0
"137",1168,8398,0,0,0,0,0,0,0,0,0,6546,0,0,0,0,60604,65086,0,0,0,0,0,0,0,0,0,0,0,0,5938,0,0,0,21982
"138",105386,53790,0,0,0,107764,0,0,0,0,0,0,0,76682,72954,0,0,83480,0,0,0,0,0,0,116732,0,0,0,0,0,71634,0,0,0,0
"139",0,13050,0,0,25006,0,0,0,0,0,0,130,6278,0,0,0,0,0,0,0,0,0,0,0,4006,0,0,0,6572,0,0,0,0,97060.0000000001,0
"140",0,0,0,0,0,0,0,0,295062,0,0,0,0,0,0,0,0,0,0,62058,0,0,0,9626,0,0,0,129894,41486,0,0,348572,0,0,5004
"141",0,0,3042,251276,6846,0,0,215608,0,51146,0,0,0,0,0,0,0,0,194642,74098,0,72846,0,0,0,0,0,167050,0,28300,0,0,230042,0,0
"142",0,0,20964,0,0,0,10040,0,0,0,27312,0,0,0,0,10780,0,0,0,0,0,0,0,0,0,0,0,0,14916,0,0,0,0,0,0
"143",11718,8576,11088,69614,10638,12884,2176,756,8276,2652,26628,67632,57174,9068,3520,26410,20308,220,4258,2044,8890,11042,326,764,6992,52066,0,546,61580.0000000001,165596,11192,7530,448,18632,3954
"144",16930,58433.9999999999,0,0,0,0,0,0,0,30806,0,196596,17540,21860,0,0,30132,0,0,7356,8138,0,0,0,111468,120262,0,52472.0000000001,5736,3238,10580,14718,0,0,0
